dhf,dlf,whf,wlf,dha,dla,dhw,dlw,whw,wlw,hr
17.25,20,21.25,28,20.25,21.5,17,18.5,20.25,23.75,56.7
17.25,19.75,21.25,28,20.25,18.75,17,18.5,20.5,23.75,56.86666667
17.25,20,21.25,26.75,19.75,18.5,17,18.5,20,23.75,57.03333333
17.25,18.75,21.25,25.75,18,18.5,17,18.5,19.75,21.25,57.2
17.25,19.25,21.25,25,17.25,18.5,17,18.5,20.25,22.5,57.36666667
17.25,19.25,21.25,25,17.25,18.5,16.75,18.5,20.5,22.75,57.53333333
17.5,19.25,20.75,25,17.25,18.5,16.75,18.5,20,22.75,57.7
17.25,19.25,20.75,25,17.25,18,17,18.5,19.75,22.75,57.86666667
17.25,19.25,20.75,25,17.25,18.5,17,18.25,20.75,22.75,58.03333333
17.25,19.25,20.75,25,17.25,18.5,17,18.5,20.75,22.75,58.2
17.25,19.25,20.75,25,17.25,18.5,16.75,18.25,20,22.75,58.36666667
17.25,19.25,20.75,25,17.25,18.5,17,18.5,19.75,22.75,58.53333333
17.25,19.25,20.75,25,17.25,18,17,18.25,20.5,22.75,58.7
17.25,19.25,20.75,25,17.25,18.5,17,18.5,20.75,22.5,58.86666667
17.25,19.25,20.75,25,17.25,18.5,17,18.25,20,22.5,59.03333333
17.25,19.25,20.75,25,17.25,18.5,16.75,18.5,19.75,22.75,59.2
17.25,19.25,20.75,25,17.25,18.5,17,18.5,20.5,22.75,59.36666667
17.25,19.25,20.75,25,17.25,18,17,18.25,20.75,22.75,59.53333333
17.25,19.25,20.75,25,17.25,18.5,17,18.5,20,22.75,59.7
17.25,19.25,20.75,25,17.25,18,17,18.25,19.5,22.75,59.86666667
17.25,19.25,20.75,25,17.25,18.5,16.75,18.5,20.75,22.75,60.03333333
17.25,19.25,20.75,25,17.25,18,17,18.25,20.75,22.75,60.2
17.25,19.25,20.75,25,17.25,18.5,17,18.5,20,22.75,60.36666667
17.25,19.25,20.75,25,17.25,18.5,17,18.25,19.5,22.75,60.53333333
17.25,19.25,20.75,25,17.25,18.5,17,18.5,20.75,22.75,60.7
17.5,19.25,20.75,25,17.25,18.25,16.75,18.25,20.75,22.75,60.86666667
17.25,19.25,20.75,25,17.25,18.75,17,18.5,20,22.75,61.03333333
17.25,19.25,20.75,24.5,17.25,18,17,18.25,19.75,22.75,61.2
17,18.25,20.75,24.75,15.5,18,17,18.25,20.25,22.75,61.36666667
17.25,17.25,20.75,25,16.25,18,16.75,18.25,20.75,22.75,61.53333333
17,16.25,20.75,24.75,16.75,18,16.75,18,20,22.75,61.7
17,16.25,20.75,24.75,16.75,18,16.75,18.25,19.75,22.75,61.86666667
16.75,16.25,20.75,24.75,16.75,18,17,18,20.75,22.75,62.03333333
16.75,16.25,20.75,24.75,16.75,17.5,17,18.25,20.75,22.75,62.2
16.75,16.25,20.75,25,16.75,18,17,18,20,22.75,62.36666667
16.75,16.25,20.75,24.75,16.75,17.5,16.75,18,19.5,22.75,62.53333333
16.75,16.25,20.75,25,16.75,17.75,16.75,17.75,19.75,22.5,62.7
16.75,16.25,20.75,25,16.75,17.5,16.75,18,20.75,22.75,62.86666667
16.75,16.25,20.75,24.75,16.75,17.5,17,17.75,20.75,22.25,63.03333333
16.5,16.25,20.75,25,16.75,17.5,17,18,20,22.25,63.2
16.25,16.25,20.75,25,16.75,17.5,17,18,19.75,22.75,63.36666667
16.5,16.25,20.75,24.75,16.75,17,16.75,17.75,20.25,22.75,63.53333333
16.25,16.25,20.75,25,16.75,17.5,16.75,17.5,20.75,22.5,63.7
16.25,16.25,20.25,24.75,16.75,17,17,17.75,20.25,22.5,63.86666667
16.25,16.25,20.5,25,16.75,17.5,17,17.75,19.5,22.75,64.03333333
16.25,16.25,20.5,25,16.75,17,16.75,17.75,20.25,22.75,64.2
16.25,16.25,20.25,24.75,16.75,17,16.75,17.5,20.75,22.75,64.36666667
16.25,16.25,20.25,25,16.75,17,16.75,17.5,20.25,22.75,64.53333333
16.25,16.25,20.25,25,16.75,16.5,17,17.5,19.75,22.75,64.7
16,16.25,20.25,25,16.75,17,17,17.75,20,22.75,64.86666667
16,16.25,20.25,24,16.75,17,17,17.5,20,22.25,65.03333333
16,15.25,20.25,22.5,14.75,17,16.75,17.5,20.75,22.75,65.2
16,15.75,20.25,22.5,14.75,16.5,16.75,17.5,20.75,22.75,65.36666667
15.75,15.75,20.25,22.5,14.75,17,16.75,17.25,20,22.5,65.53333333
15.75,15.75,20.25,22.5,15,17,16.75,17,20,22.75,65.7
15.75,15.75,20.25,22.5,15.25,17,16.75,17.5,20.75,22.25,65.86666667
15.75,15.75,20.25,22.5,15.25,16.75,16.75,17.5,20.75,22.25,66.03333333
15.75,15.75,20.25,22.5,15.25,17,17,17,20,22.75,66.2
15.75,15.75,20.25,22.5,15.25,17,17,17,19.75,22.25,66.36666667
15.75,15.75,20.25,22.5,15.25,16.5,16.75,17.5,20.75,22.25,66.53333333
15.75,15.75,20.25,22.5,15.25,17,16.75,17,20.75,22.75,66.7
